IP,HOSTNAME,DATE,TIME
10.41.12.2,N/A,11/10/2023,21:53:25
10.41.12.7,swgsrapacs01a,11/10/2023,21:53:27
10.41.12.8,swgsrapacs02a,11/10/2023,21:53:27
10.41.12.10,swgsrapacs04a,11/10/2023,21:53:27
10.41.12.14,MON-10-41-12-14-imp,11/10/2023,21:53:29
10.41.12.16,MON-10-41-12-16-imp,11/10/2023,21:53:29
10.41.12.21,MON-10-41-12-21-imp,11/10/2023,21:53:31
10.41.12.31,LWGSRSPT01,11/10/2023,21:53:36
10.41.12.33,lwgsradm03,11/10/2023,21:53:36
10.41.12.42,lwgsradm04,11/10/2023,21:53:40
10.41.12.44,lwgsradm02,11/10/2023,21:53:41
10.41.12.45,lwgsradm01,11/10/2023,21:53:41
10.41.12.79,SEP20370617C01A,11/10/2023,21:53:57
10.41.12.242,N/A,11/10/2023,21:55:18
10.41.12.243,N/A,11/10/2023,21:55:19
